text,label
I should finish the project report,todo
Thoughts on project timelines,note
Set a reminder to submit the report 8 PM,reminder
This is an idea about project timelines,note
Add submit the assignment to my to-do list,todo
I need to submit the assignment,todo
Set a reminder to attend the meeting next Monday,reminder
Add submit the assignment to my to-do list,todo
I need a reminder to submit the report at tomorrow,reminder
Make sure to finish the project report,todo
Remind me to call John at tomorrow,reminder
I should finish the project report,todo
This is an idea about deployment strategy,note
I need to review the code,todo
I should call the client,todo
I need to call the client,todo
Schedule a reminder for attend the meeting,reminder
Notes from today's meeting about system architecture,note
Notes from today's meeting about system architecture,note
Remember to review the code,todo
This is an idea about future development,note
I need a reminder to take medicine at tomorrow,reminder
